"Termin";"Temperatur-Mittel";"Min.Temp. 5cm";"Max. Temp.";"Min. Temp.";"Niederschlag";"Niederschl. Ind";"Gesamtschnee";"Luftdruck";"Luftfeuchte";"Dampfdruck";"Luftdruck red";"Sonnenschein";"Bewoelkung";"Wind-Mittel";"Maximum Windspitze";"Qualitaet";"Klimaeinschaetzung";"Schneefallgrenze";"Grosswetterlage"
"17.05.1990";"19,0";"12,1";"22,5";"13,4";"0,0";"0";"0";"954,3";"58,0";"12,50";"1014,2";"11,6";"2,7";"1,7";"8,2";"10";"sommerlich";"";"HNA"
"18.05.1990";"17,4";"10,9";"21,8";"14,8";"0,0";"0";"0";"955,1";"53,0";"10,70";"1015,4";"7,1";"6,3";"1,4";"6,7";"10";"sommerlich";"";"HNA"
"19.05.1990";"16,3";"8,3";"21,0";"10,5";"0,0";"0";"0";"956,3";"59,0";"10,60";"1016,9";"11,0";"3,0";"1,9";"8,2";"10";"sommerlich";"";"HNA"
"20.05.1990";"16,1";"9,4";"21,3";"10,0";"0,0";"0";"0";"954,6";"48,0";"8,50";"1015,2";"12,1";"3,3";"1,4";"5,7";"10";"sommerlich";"";"HNA"
"21.05.1990";"16,2";"10,8";"21,5";"12,1";"9,7";"6";"0";"951,0";"68,0";"12,60";"1011,2";"7,6";"6,0";"1,2";"7,5";"10";"sommerlich";"2401";"HNA"
"22.05.1990";"17,6";"11,0";"22,1";"11,8";"0,0";"6";"0";"951,6";"65,0";"12,60";"1011,6";"7,9";"3,7";"1,2";"5,9";"10";"sommerlich";"2589";"HB"
"23.05.1990";"18,5";"10,9";"23,1";"11,8";"7,0";"6";"0";"952,2";"63,0";"13,40";"1012,0";"7,9";"4,0";"1,1";"6,2";"10";"sommerlich";"2707";"HB"
"24.05.1990";"16,1";"12,3";"19,2";"13,6";"15,6";"6";"0";"949,6";"86,0";"16,00";"1009,7";"0,8";"7,7";"0,9";"6,7";"10";"frühlingshaft";"2810";"HB"
"25.05.1990";"10,6";"11,4";"15,3";"9,4";"17,7";"6";"0";"953,4";"94,0";"12,00";"1015,0";"0,0";"7,7";"2,2";"9,3";"10";"ausgeprägt frühlingshaft";"1863";"HB"
"26.05.1990";"12,5";"6,7";"15,4";"7,3";"0,0";"0";"0";"959,3";"54,0";"7,60";"1021,0";"5,6";"5,0";"1,7";"9,3";"10";"ausgeprägt frühlingshaft";"";"HB"
"27.05.1990";"13,2";"5,9";"17,3";"7,3";"0,0";"0";"0";"959,5";"43,0";"6,40";"1021,1";"12,9";"1,7";"1,3";"9,2";"10";"sommerlich";"";"HB"
"28.05.1990";"12,2";"6,4";"16,8";"7,6";"0,0";"0";"0";"960,9";"51,0";"7,20";"1022,8";"10,6";"4,7";"2,1";"11,8";"10";"frühlingshaft";"";"HB"
"29.05.1990";"11,6";"6,4";"15,4";"7,2";"0,0";"0";"0";"961,7";"45,0";"6,20";"1023,8";"10,1";"2,3";"1,3";"6,2";"10";"frühlingshaft";"";"HB"
"30.05.1990";"14,1";"4,6";"18,5";"5,4";"0,0";"0";"0";"958,2";"42,0";"6,40";"1019,5";"13,5";"0,3";"1,1";"7,2";"10";"sommerlich";"";"HB"
"31.05.1990";"16,0";"6,8";"21,5";"8,2";"0,0";"0";"0";"958,1";"35,0";"6,40";"1019,0";"12,1";"1,7";"1,0";"7,7";"10";"sommerlich";"";"HB"
"01.06.1990";"18,3";"8,5";"24,6";"10,0";"0,0";"0";"0";"955,8";"40,0";"8,10";"1016,0";"11,6";"2,3";"1,2";"6,7";"10";"sommerlich";"";"WZ"
"02.06.1990";"14,2";"11,2";"21,0";"11,9";"12,5";"6";"0";"949,2";"81,0";"13,50";"1009,7";"2,4";"7,0";"2,3";"12,9";"10";"frühlingshaft";"2313";"WZ"
"03.06.1990";"13,7";"8,9";"16,3";"10,0";"6,2";"8";"0";"948,8";"70,0";"10,80";"1009,5";"3,1";"6,3";"1,8";"7,8";"10";"ausgeprägt frühlingshaft";"1996";"WZ"
"04.06.1990";"12,6";"10,3";"15,0";"10,8";"3,3";"6";"0";"946,8";"90,0";"13,30";"1007,5";"1,1";"7,0";"2,5";"12,3";"10";"ausgeprägt frühlingshaft";"2185";"WZ"
"05.06.1990";"13,8";"8,9";"18,7";"9,9";"18,5";"6";"0";"949,1";"66,0";"10,40";"1009,8";"5,8";"6,0";"0,9";"6,7";"10";"frühlingshaft";"1931";"WZ"
"06.06.1990";"12,2";"11,0";"14,1";"11,2";"7,1";"6";"0";"950,6";"95,0";"13,50";"1011,7";"0,0";"7,7";"0,6";"5,1";"10";"ausgeprägt frühlingshaft";"2193";"WZ"
"07.06.1990";"14,1";"10,6";"18,0";"11,1";"1,6";"6";"0";"949,0";"78,0";"12,60";"1009,6";"0,2";"7,3";"1,9";"7,7";"10";"ausgeprägt frühlingshaft";"2232";"WZ"
"08.06.1990";"11,6";"11,3";"16,5";"9,8";"12,4";"6";"0";"945,4";"87,0";"12,20";"1006,3";"0,9";"6,3";"2,3";"11,5";"10";"ausgeprägt frühlingshaft";"1943";"WZ"
"09.06.1990";"11,4";"8,0";"16,1";"8,3";"6,4";"8";"0";"947,9";"65,0";"8,90";"1009,1";"7,0";"4,7";"2,3";"13,4";"10";"frühlingshaft";"1519";"TM"
"10.06.1990";"9,0";"6,4";"12,8";"6,9";"18,7";"6";"0";"950,3";"86,0";"9,90";"1012,1";"3,0";"7,0";"3,1";"11,3";"10";"ausgeprägt frühlingshaft";"1459";"TM"
"11.06.1990";"12,9";"8,3";"17,2";"8,8";"0,0";"6";"0";"953,5";"78,0";"11,60";"1014,6";"3,3";"3,7";"2,6";"6,2";"10";"ausgeprägt frühlingshaft";"2003";"TM"
"12.06.1990";"12,0";"9,1";"13,6";"9,2";"21,8";"6";"0";"951,0";"90,0";"12,60";"1012,1";"0,0";"8,0";"1,4";"5,5";"10";"ausgeprägt frühlingshaft";"2062";"TM"
"13.06.1990";"12,2";"11,0";"14,2";"11,7";"4,3";"6";"0";"953,4";"93,0";"13,20";"1014,6";"0,1";"8,0";"1,9";"6,7";"10";"ausgeprägt frühlingshaft";"2151";"TM"
"14.06.1990";"14,2";"11,2";"17,9";"11,3";"0,2";"6";"0";"954,0";"75,0";"12,10";"1014,9";"2,6";"5,3";"0,9";"4,0";"10";"frühlingshaft";"2180";"NA"
"15.06.1990";"12,6";"11,3";"15,6";"11,5";"3,3";"6";"0";"954,3";"91,0";"13,40";"1015,5";"0,1";"8,0";"1,1";"6,2";"10";"ausgeprägt frühlingshaft";"2191";"NA"
"16.06.1990";"15,4";"11,1";"19,6";"11,4";"0,0";"0";"0";"954,2";"71,0";"12,00";"1014,8";"7,0";"4,7";"1,4";"5,3";"10";"frühlingshaft";"";"NA"
"17.06.1990";"18,1";"9,4";"22,1";"10,6";"0,0";"0";"0";"952,5";"55,0";"11,10";"1012,5";"11,1";"3,3";"0,8";"5,1";"10";"sommerlich";"";"NA"
"18.06.1990";"18,0";"11,4";"21,8";"12,4";"0,0";"0";"0";"952,4";"61,0";"12,80";"1012,3";"6,4";"3,3";"2,2";"9,8";"10";"sommerlich";"";"SWZ"
"19.06.1990";"21,6";"10,8";"26,7";"13,4";"1,1";"6";"0";"953,2";"54,0";"13,50";"1012,4";"13,2";"2,0";"1,3";"7,3";"10";"sommerlich";"3031";"SWZ"
"20.06.1990";"19,0";"14,5";"26,5";"14,5";"22,9";"6";"0";"950,5";"70,0";"16,30";"1010,1";"8,9";"3,7";"2,1";"20,1";"10";"sommerlich";"3005";"SWZ"
"21.06.1990";"17,6";"12,4";"21,4";"12,8";"0,0";"6";"0";"950,6";"63,0";"12,20";"1010,5";"6,1";"6,0";"1,9";"6,2";"10";"sommerlich";"2539";"SWZ"
"22.06.1990";"14,3";"14,5";"21,2";"11,8";"11,0";"6";"0";"949,8";"79,0";"13,40";"1010,4";"0,7";"7,7";"2,0";"10,1";"10";"frühlingshaft";"2290";"SWZ"
"23.06.1990";"12,8";"11,0";"15,8";"11,3";"2,4";"6";"0";"956,1";"78,0";"11,50";"1017,4";"1,9";"5,7";"2,3";"8,3";"10";"ausgeprägt frühlingshaft";"1981";"SWZ"
"24.06.1990";"16,6";"9,7";"20,5";"10,8";"0,1";"6";"0";"960,1";"68,0";"12,80";"1020,8";"3,1";"5,0";"1,2";"5,1";"10";"frühlingshaft";"2461";"BM"
"25.06.1990";"21,6";"12,2";"25,9";"13,7";"0,0";"0";"0";"961,1";"54,0";"13,80";"1020,8";"13,2";"1,0";"1,1";"5,7";"10";"sommerlich";"";"BM"
"26.06.1990";"23,4";"13,0";"28,2";"14,8";"0,0";"0";"0";"957,6";"51,0";"14,90";"1016,7";"13,6";"1,0";"1,8";"9,3";"10";"sommerlich";"";"BM"
"27.06.1990";"20,9";"15,4";"29,4";"16,8";"7,5";"6";"0";"952,5";"71,0";"18,10";"1011,7";"9,7";"1,7";"1,6";"20,1";"10";"sommerlich";"3439";"BM"
"28.06.1990";"20,6";"16,1";"23,5";"16,8";"0,0";"0";"0";"955,1";"72,0";"17,30";"1014,6";"1,9";"7,0";"1,8";"7,3";"10";"sommerlich";"";"BM"
"29.06.1990";"22,9";"15,2";"28,6";"16,4";"2,7";"6";"0";"956,6";"58,0";"16,20";"1015,7";"11,3";"3,0";"1,8";"19,0";"10";"sommerlich";"3424";"BM"
"30.06.1990";"24,1";"15,2";"29,7";"16,4";"11,5";"6";"0";"952,6";"55,0";"16,30";"1011,2";"10,6";"2,3";"1,8";"15,4";"10";"sommerlich";"3574";"BM"
"01.07.1990";"16,7";"15,0";"23,7";"15,4";"0,1";"6";"0";"953,6";"69,0";"13,10";"1013,9";"4,0";"5,0";"3,0";"12,3";"10";"sommerlich";"2515";"WZ"
"02.07.1990";"16,0";"12,7";"20,2";"13,9";"0,0";"0";"0";"952,1";"60,0";"10,90";"1012,5";"2,8";"4,7";"1,8";"7,9";"10";"herbstlich";"";"WZ"
"03.07.1990";"14,4";"11,6";"22,2";"11,7";"29,8";"6";"0";"948,1";"72,0";"12,10";"1008,6";"3,2";"7,3";"1,7";"11,4";"10";"sommerlich";"2163";"WZ"
"04.07.1990";"13,3";"10,7";"17,4";"10,9";"0,1";"6";"0";"953,0";"72,0";"10,80";"1014,0";"3,6";"6,3";"2,5";"7,9";"10";"herbstlich";"1959";"WZ"
"05.07.1990";"15,0";"11,1";"20,3";"11,2";"3,2";"6";"0";"947,2";"70,0";"12,40";"1007,5";"0,2";"7,3";"2,2";"13,4";"10";"herbstlich";"2231";"WZ"
"06.07.1990";"12,7";"11,0";"16,1";"11,4";"0,5";"6";"0";"955,4";"70,0";"10,50";"1016,7";"4,0";"6,3";"3,8";"15,2";"10";"andeutungsweise herbstlich";"1813";"WZ"
"07.07.1990";"13,1";"8,6";"17,5";"9,2";"9,0";"6";"0";"959,3";"68,0";"10,20";"1020,8";"3,0";"7,3";"2,4";"11,3";"10";"herbstlich";"1838";"WZ"
"08.07.1990";"16,2";"11,0";"18,0";"11,4";"3,9";"6";"0";"957,1";"88,0";"15,80";"1017,6";"0,0";"7,7";"2,8";"11,0";"10";"andeutungsweise herbstlich";"2862";"WZ"
"09.07.1990";"20,3";"15,1";"25,2";"17,2";"9,4";"6";"0";"953,7";"69,0";"16,60";"1013,2";"10,1";"4,7";"2,9";"12,9";"10";"sommerlich";"3243";"WZ"
"10.07.1990";"14,8";"12,6";"18,7";"13,8";"0,0";"0";"0";"958,0";"59,0";"10,00";"1019,1";"4,4";"5,7";"2,4";"12,0";"10";"herbstlich";"";"WZ"
"11.07.1990";"15,5";"10,1";"19,5";"10,8";"0,0";"0";"0";"965,1";"59,0";"10,10";"1026,4";"6,7";"4,3";"1,3";"6,5";"10";"herbstlich";"";"BM"
"12.07.1990";"19,3";"9,8";"23,1";"10,7";"0,0";"0";"0";"961,0";"52,0";"11,40";"1021,2";"13,5";"0,0";"2,0";"9,8";"10";"sommerlich";"";"BM"
"13.07.1990";"21,8";"11,3";"27,0";"12,3";"0,0";"0";"0";"955,8";"51,0";"13,00";"1015,2";"13,2";"0,0";"1,2";"8,0";"10";"sommerlich";"";"BM"
"14.07.1990";"18,6";"14,8";"24,4";"15,9";"0,0";"0";"0";"955,3";"53,0";"11,20";"1015,3";"11,2";"3,0";"1,8";"7,4";"10";"sommerlich";"";"BM"
"15.07.1990";"19,2";"10,9";"25,0";"11,9";"0,0";"0";"0";"957,0";"49,0";"10,70";"1017,0";"12,5";"1,3";"1,2";"5,8";"10";"sommerlich";"";"BM"
"16.07.1990";"22,1";"12,3";"26,5";"13,4";"0,4";"6";"0";"958,7";"50,0";"13,10";"1018,2";"9,6";"3,7";"2,3";"9,3";"10";"sommerlich";"2982";"BM"
"17.07.1990";"19,4";"16,0";"24,3";"17,9";"0,6";"6";"0";"957,4";"71,0";"16,90";"1017,3";"4,9";"4,7";"2,4";"10,3";"10";"sommerlich";"3103";"BM"
"18.07.1990";"16,5";"12,8";"21,8";"13,7";"0,0";"0";"0";"959,7";"62,0";"11,70";"1020,5";"11,2";"2,0";"1,8";"7,9";"10";"sommerlich";"";"HB"
"19.07.1990";"17,2";"12,0";"21,0";"13,0";"0,0";"0";"0";"958,5";"62,0";"12,10";"1019,0";"9,2";"2,7";"1,2";"6,7";"10";"sommerlich";"";"HB"
"20.07.1990";"20,8";"11,0";"25,5";"11,6";"0,0";"0";"0";"959,1";"53,0";"12,40";"1018,9";"12,9";"0,3";"1,0";"6,2";"10";"sommerlich";"";"HB"
"21.07.1990";"23,0";"13,4";"28,6";"14,5";"0,0";"0";"0";"959,5";"50,0";"13,60";"1018,8";"13,3";"0,0";"0,8";"5,7";"10";"sommerlich";"";"HB"
"22.07.1990";"22,6";"14,5";"28,5";"15,6";"0,0";"0";"0";"958,1";"53,0";"14,00";"1017,4";"12,8";"0,0";"1,1";"6,7";"10";"sommerlich";"";"HB"
"23.07.1990";"21,1";"14,8";"25,3";"16,7";"0,0";"0";"0";"956,5";"46,0";"11,40";"1016,1";"10,8";"3,3";"1,4";"6,5";"10";"sommerlich";"";"HB"
"24.07.1990";"19,1";"13,1";"24,4";"14,4";"0,0";"0";"0";"957,0";"44,0";"9,70";"1017,1";"13,0";"1,7";"1,5";"12,3";"10";"sommerlich";"";"HB"
"25.07.1990";"20,1";"11,2";"24,8";"12,3";"0,0";"0";"0";"955,3";"44,0";"10,00";"1015,0";"13,3";"0,3";"1,3";"6,9";"10";"sommerlich";"";"HB"
"26.07.1990";"20,4";"12,0";"26,1";"13,4";"0,0";"0";"0";"952,9";"49,0";"11,40";"1012,4";"13,0";"1,3";"1,8";"9,6";"10";"sommerlich";"";"HNFA"
"27.07.1990";"22,1";"12,9";"27,8";"14,0";"0,0";"0";"0";"954,4";"47,0";"12,00";"1013,6";"12,7";"2,7";"1,3";"7,2";"10";"sommerlich";"";"HNFA"
"28.07.1990";"23,9";"13,3";"30,4";"14,5";"0,0";"0";"0";"955,6";"45,0";"12,80";"1014,5";"13,1";"2,3";"1,4";"9,0";"10";"sommerlich";"";"HNFA"
"29.07.1990";"25,9";"14,5";"31,6";"15,8";"0,1";"6";"0";"956,3";"51,0";"16,40";"1014,8";"10,6";"2,7";"1,6";"10,3";"10";"sommerlich";"3785";"HNFA"
"30.07.1990";"20,6";"18,7";"28,8";"16,7";"18,9";"6";"0";"959,4";"72,0";"18,00";"1019,1";"4,9";"6,3";"2,3";"12,9";"10";"sommerlich";"3388";"BM"
"31.07.1990";"20,0";"15,5";"25,4";"16,3";"1,5";"6";"0";"960,2";"78,0";"18,50";"1020,1";"4,1";"5,7";"1,3";"8,0";"10";"sommerlich";"3434";"BM"
"01.08.1990";"22,2";"16,5";"27,2";"17,0";"0,0";"0";"0";"961,8";"65,0";"16,90";"1021,3";"7,8";"3,0";"1,1";"7,7";"10";"sommerlich";"";"BM"
"02.08.1990";"23,9";"16,0";"29,6";"17,9";"0,0";"0";"0";"961,1";"49,0";"13,90";"1020,3";"13,0";"0,3";"1,6";"9,8";"10";"sommerlich";"";"BM"
"03.08.1990";"22,9";"16,1";"28,7";"17,1";"0,0";"0";"0";"961,4";"43,0";"11,50";"1020,9";"13,2";"0,0";"2,0";"11,8";"10";"sommerlich";"";"BM"
"04.08.1990";"22,7";"14,0";"29,0";"15,0";"0,0";"0";"0";"960,2";"43,0";"11,60";"1019,7";"13,2";"0,0";"1,4";"8,2";"10";"sommerlich";"";"BM"
"05.08.1990";"25,5";"14,0";"32,0";"15,2";"4,0";"6";"0";"955,4";"45,0";"13,70";"1013,9";"12,0";"0,7";"1,7";"9,8";"10";"sommerlich";"3450";"BM"
"06.08.1990";"17,5";"17,0";"25,6";"16,4";"20,8";"6";"0";"952,4";"86,0";"17,70";"1012,3";"0,1";"8,0";"2,2";"6,2";"10";"sommerlich";"3109";"BM"
"07.08.1990";"14,8";"12,4";"19,6";"12,5";"0,3";"6";"0";"956,9";"71,0";"11,80";"1017,8";"4,8";"5,7";"2,0";"7,2";"10";"herbstlich";"2201";"BM"
"08.08.1990";"16,5";"11,4";"21,7";"11,7";"0,0";"0";"0";"960,3";"56,0";"10,10";"1021,1";"11,7";"1,0";"1,0";"5,2";"10";"sommerlich";"";"BM"
"09.08.1990";"18,0";"10,4";"23,2";"11,0";"0,0";"0";"0";"961,2";"54,0";"10,50";"1021,7";"12,4";"1,0";"1,0";"4,6";"10";"sommerlich";"";"BM"
"10.08.1990";"21,7";"11,0";"26,4";"11,9";"0,0";"6";"0";"959,8";"41,0";"9,80";"1019,5";"11,2";"2,3";"1,2";"8,0";"10";"sommerlich";"2607";"BM"
"11.08.1990";"22,2";"14,2";"27,5";"15,0";"0,0";"0";"0";"958,6";"49,0";"12,70";"1018,1";"11,0";"1,0";"0,9";"6,7";"10";"sommerlich";"";"BM"
"12.08.1990";"23,0";"14,4";"30,9";"15,0";"0,0";"0";"0";"955,7";"47,0";"12,70";"1014,8";"12,1";"2,0";"1,7";"10,3";"10";"sommerlich";"";"BM"
